id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
064007,26498,7785.0,21942.0,18713.0,3229.0,4556.0,100.0,29.379575817042795,82.80624952826628,70.62042418295721,12.18582534530908,17.193750471733715
064008,42661,12338.0,36769.0,30323.0,6446.0,5892.0,100.0,28.9210285741075,86.18879069876468,71.0789714258925,15.109819272872176,13.81120930123532
071001,26341,15061.0,17430.0,11280.0,6150.0,8911.0,100.0,57.17702441061463,66.1706085570024,42.82297558938537,23.347632967617024,33.82939144299761
071002,24121,12423.0,16919.0,11698.0,5221.0,7202.0,100.0,51.50283984909415,70.14219974296256,48.49716015090585,21.645039592056715,29.857800257037436
072003,21279,9554.0,15865.0,11725.0,4140.0,5414.0,100.0,44.89872644391184,74.5570750505193,55.10127355608816,19.455801494431128,25.442924949480712
072004,31736,14199.0,23856.0,17537.0,6319.0,7880.0,100.0,44.74098815225611,75.17015376859088,55.25901184774389,19.911141920846987,24.829846231409125
073005,26257,9208.0,21233.0,17049.0,4184.0,5024.0,100.0,35.0687435731424,80.86605476634801,64.9312564268576,15.934798339490422,19.13394523365198
073006,21375,9303.0,16509.0,12072.0,4437.0,4866.0,100.0,43.522807017543855,77.23508771929825,56.47719298245614,20.757894736842104,22.764912280701754
074007,19074,9138.0,13702.0,9936.0,3766.0,5372.0,100.0,47.9081472161057,71.83600713012478,52.09185278389431,19.744154346230474,28.16399286987522
074008,32558,13524.0,25338.0,19034.0,6304.0,7220.0,100.0,41.53817802076294,77.82419067510288,58.46182197923705,19.36236869586584,22.175809324897106
074009,15365,8216.0,10492.0,7149.0,3343.0,4873.0,100.0,53.47217702570778,68.28506345590628,46.52782297429222,21.75724048161406,31.714936544093717
075010,32900,14443.0,25597.0,18457.0,7140.0,7303.0,100.0,43.89969604863222,77.80243161094225,56.10030395136778,21.70212765957447,22.19756838905775
075011,21178,8314.0,16800.0,12864.0,3936.0,4378.0,100.0,39.25772027575786,79.3276041174804,60.742279724242145,18.585324393238267,20.672395882519595
076012,17948,7925.0,13849.0,10023.0,3826.0,4099.0,100.0,44.155337642077114,77.16180075774459,55.84466235792289,21.317138399821708,22.838199242255406
076013,14319,6473.0,11557.0,7846.0,3711.0,2762.0,100.0,45.20567078706614,80.71094350164117,54.79432921293387,25.91661428870731,19.289056498358825
076014,21251,5929.0,18578.0,15322.0,3256.0,2673.0,100.0,27.899863535833607,87.42176838737001,72.10013646416638,15.321631923203613,12.578231612629995
076015,31527,10826.0,26135.0,20701.0,5434.0,5392.0,100.0,34.33882069337393,82.89719922606021,65.66117930662607,17.23601991943414,17.102800773939798
081001,33053,19169.0,20988.0,13884.0,7104.0,12065.0,100.0,57.994735727468004,63.49801833419054,42.005264272531996,21.492754061658548,36.50198166580946
081002,37667,23334.0,23179.0,14333.0,8846.0,14488.0,100.0,61.94812435288183,61.53662356970292,38.051875647118166,23.484747922584756,38.463376430297075
081003,37707,20143.0,25147.0,17564.0,7583.0,12560.0,100.0,53.41978942901848,66.69053491394172,46.58021057098152,20.110324342960194,33.309465086058296
081004,39081,22045.0,25122.0,17036.0,8086.0,13959.0,100.0,56.40848494153169,64.2818761034774,43.59151505846831,20.690361045009084,35.718123896522606
081005,15076,10992.0,9689.0,4084.0,5605.0,5387.0,100.0,72.91058636243035,64.26771026797559,27.08941363756965,37.178296630405946,35.732289732024405
082006,21254,12555.0,13749.0,8699.0,5050.0,7505.0,100.0,59.07123365013645,64.6889997177002,40.92876634986355,23.76023336783664,35.3110002822998
082007,23244,8579.0,19170.0,14665.0,4505.0,4074.0,100.0,36.90844949234211,82.4728962312855,63.09155050765789,19.381345723627604,17.527103768714507
082008,30172,13234.0,23641.0,16938.0,6703.0,6531.0,100.0,43.861858676919,78.35410314198595,56.138141323081,22.215961818904944,21.64589685801405
083009,20229,11348.0,15421.0,8881.0,6540.0,4808.0,100.0,56.09768154629492,76.2321419743932,43.90231845370508,32.32982352068812,23.767858025606802
083010,18825,11259.0,14161.0,7566.0,6595.0,4664.0,100.0,59.808764940239044,75.22443559096945,40.191235059760956,35.0332005312085,24.775564409030544
084011,9752,3982.0,7949.0,5770.0,2179.0,1803.0,100.0,40.83264971287941,81.51148482362592,59.16735028712059,22.344134536505333,18.488515176374076
084012,44201,15792.0,37609.0,28409.0,9200.0,6592.0,100.0,35.727698468360444,85.08631026447365,64.27230153163956,20.8140087328341,14.913689735526345
091001,13454,5008.0,10522.0,8446.0,2076.0,2932.0,100.0,37.22313066745949,78.20722461721421,62.77686933254051,15.430355284673702,21.79277538278579
091002,11814,3531.0,9412.0,8283.0,1129.0,2402.0,100.0,29.88826815642458,79.66819028271543,70.11173184357543,9.556458439140004,20.331809717284578
091003,19509,5439.0,16210.0,14070.0,2140.0,3299.0,100.0,27.879440258342303,83.08985596391409,72.1205597416577,10.969296222256395,16.91014403608591
091004,22192,5825.0,18827.0,16367.0,2460.0,3365.0,100.0,26.248197548666184,84.83687815428983,73.75180245133382,11.08507570295602,15.163121845710165
092005,25629,9675.0,18508.0,15954.0,2554.0,7121.0,100.0,37.75020484607281,72.21506886729875,62.24979515392719,9.965273713371571,27.784931132701235
092006,14885,5640.0,10680.0,9245.0,1435.0,4205.0,100.0,37.890493785690296,71.75008397715821,62.109506214309704,9.640577762848505,28.249916022841788
092007,22661,8117.0,16713.0,14544.0,2169.0,5948.0,100.0,35.81924892987953,73.75226159481046,64.18075107012046,9.571510524689995,26.24773840518953
092008,13080,4064.0,10217.0,9016.0,1201.0,2863.0,100.0,31.07033639143731,78.11162079510703,68.92966360856269,9.181957186544343,21.888379204892967
093009,31672,9288.0,26308.0,22384.0,3924.0,5364.0,100.0,29.325587269512503,83.06390502652185,70.6744127304875,12.389492296034351,16.936094973478152
093010,15622,3981.0,13128.0,11641.0,1487.0,2494.0,100.0,25.483292792216105,84.03533478427858,74.5167072077839,9.518627576494687,15.964665215721418
093011,8497,1911.0,7331.0,6586.0,745.0,1166.0,100.0,22.490290690832058,86.27750970930916,77.50970930916795,8.767800400141226,13.72249029069083
093012,4493,645.0,4203.0,3848.0,355.0,290.0,100.0,14.355664366792789,93.54551524593813,85.64433563320722,7.901179612730915,6.454484754061875
094013,13156,1974.0,11990.0,11182.0,808.0,1166.0,100.0,15.00456065673457,91.1371237458194,84.99543934326543,6.141684402553968,8.862876254180602
094014,12098,2567.0,10303.0,9531.0,772.0,1795.0,100.0,21.218383203835344,85.16283683253431,78.78161679616466,6.381220036369648,14.837163167465697
094015,7417,2106.0,5961.0,5311.0,650.0,1456.0,100.0,28.394229472832684,80.36942159902925,71.60577052716732,8.763651071861938,19.630578400970744
094016,7041,805.0,6653.0,6236.0,417.0,388.0,100.0,11.433035080244283,94.48941911660276,88.56696491975572,5.922454196847038,5.510580883397244
095017,18939,2344.0,17582.0,16595.0,987.0,1357.0,100.0,12.376577432810603,92.83489096573209,87.62342256718941,5.2114683985426895,7.165109034267912
095018,11271,1936.0,10115.0,9335.0,780.0,1156.0,100.0,17.17682548132375,89.74358974358975,82.82317451867624,6.920415224913495,10.256410256410255
095019,12498,3172.0,10304.0,9326.0,978.0,2194.0,100.0,25.380060809729553,82.44519123059689,74.61993919027044,7.825252040326452,17.554808769403106
095020,13492,2038.0,12213.0,11454.0,759.0,1279.0,100.0,15.105247554106139,90.52030833086273,84.89475244589386,5.625555884968871,9.479691669137265
101001,25173,8737.0,19894.0,16436.0,3458.0,5279.0,100.0,34.70782187264132,79.02911849998013,65.29217812735868,13.73694037262146,20.97088150001986
101002,52258,17785.0,40950.0,34473.0,6477.0,11308.0,100.0,34.03306670748976,78.36120785334303,65.96693329251023,12.394274560832791,21.63879214665697
101003,42558,15000.0,33273.0,27558.0,5715.0,9285.0,100.0,35.24601720005639,78.1827153531651,64.75398279994361,13.428732553221487,21.81728464683491
102004,44289,19351.0,30046.0,24938.0,5108.0,14243.0,100.0,43.69256474519632,67.840773103931,56.30743525480367,11.533337849127323,32.159226896069
102005,23653,8873.0,17078.0,14780.0,2298.0,6575.0,100.0,37.513211854733015,72.20225764173678,62.48678814526698,9.715469496469792,27.79774235826322
102006,26377,7253.0,21674.0,19124.0,2550.0,4703.0,100.0,27.49744095234485,82.17007241157069,72.50255904765515,9.667513363915532,17.829927588429314
103007,30975,7492.0,26483.0,23483.0,3000.0,4492.0,100.0,24.18724778046812,85.49798224374496,75.81275221953187,9.685230024213075,14.502017756255045
104008,19708,2440.0,18537.0,17268.0,1269.0,1171.0,100.0,12.380759082606048,94.05825045666735,87.61924091739395,6.439009539273391,5.941749543332657
104009,30412,3640.0,28674.0,26772.0,1902.0,1738.0,100.0,11.968959621202158,94.28515059844798,88.03104037879784,6.254110219650139,5.714849401552019
111001,6523,1907.0,5250.0,4616.0,634.0,1273.0,100.0,29.235014563850985,80.48443967499617,70.764985436149,9.719454238847156,19.515560325003833
111002,31394,12911.0,22671.0,18483.0,4188.0,8723.0,100.0,41.12569280754284,72.2144358794674,58.87430719245715,13.340128687010258,27.785564120532584
111003,28152,10285.0,21502.0,17867.0,3635.0,6650.0,100.0,36.533816425120776,76.37823245240125,63.46618357487923,12.912048877522023,23.62176754759875
112004,17092,5898.0,13038.0,11194.0,1844.0,4054.0,100.0,34.50737186988065,76.28130119354084,65.49262813011936,10.788673063421484,23.718698806459162
112005,36140,13329.0,26895.0,22811.0,4084.0,9245.0,100.0,36.88157166574433,74.41892639734367,63.11842833425567,11.300498063087991,25.581073602656335
113006,34481,14023.0,25408.0,20458.0,4950.0,9073.0,100.0,40.668774107479486,73.68695803485977,59.33122589252052,14.355732142339258,26.313041965140222
113007,34636,15008.0,23421.0,19628.0,3793.0,11215.0,100.0,43.33063864187551,67.62039496477654,56.66936135812449,10.95103360665204,32.37960503522347
113008,10524,4855.0,7478.0,5669.0,1809.0,3046.0,100.0,46.13264918282022,71.05663245914101,53.86735081717978,17.189281641961234,28.94336754085899
114009,35974,12150.0,27607.0,23824.0,3783.0,8367.0,100.0,33.774392616889976,76.74153555345528,66.22560738311002,10.51592817034525,23.25846444654473
114010,16574,7219.0,11801.0,9355.0,2446.0,4773.0,100.0,43.55617231808857,71.20188246651382,56.44382768191143,14.75805478460239,28.798117533486185
114011,28308,10892.0,21100.0,17416.0,3684.0,7208.0,100.0,38.47675568743818,74.5372332909425,61.52324431256182,13.01398897838067,25.46276670905751
115012,4940,1649.0,3999.0,3291.0,708.0,941.0,100.0,33.38056680161943,80.9514170040486,66.61943319838056,14.331983805668017,19.048582995951417
115013,31992,9021.0,26004.0,22971.0,3033.0,5988.0,100.0,28.197674418604652,81.28282070517629,71.80232558139535,9.480495123780946,18.717179294823705
121001,28714,16220.0,19075.0,12494.0,6581.0,9639.0,100.0,56.488124259942886,66.43100926377376,43.511875740057114,22.919133523716653,33.568990736226226
121002,28320,14745.0,19630.0,13575.0,6055.0,8690.0,100.0,52.065677966101696,69.31497175141243,47.934322033898304,21.380649717514125,30.68502824858757
122003,28299,16685.0,17960.0,11614.0,6346.0,10339.0,100.0,58.959680554083185,63.46514011095798,41.040319445916815,22.424820665041167,36.53485988904202
122004,19881,10750.0,12420.0,9131.0,3289.0,7461.0,100.0,54.07172677430713,62.47170665459484,45.92827322569287,16.543433428901967,37.52829334540516
122005,11390,3595.0,9268.0,7795.0,1473.0,2122.0,100.0,31.562774363476738,81.36962247585602,68.43722563652327,12.93239683933275,18.630377524143988
124006,24223,4373.0,22314.0,19850.0,2464.0,1909.0,100.0,18.053090038393265,92.11906039714322,81.94690996160674,10.172150435536475,7.880939602856789
124007,32794,5846.0,30128.0,26948.0,3180.0,2666.0,100.0,17.82643166432884,91.87046410928829,82.17356833567115,9.696895773617126,8.129535890711717
125008,16672,4632.0,13928.0,12040.0,1888.0,2744.0,100.0,27.7831094049904,83.54126679462573,72.2168905950096,11.324376199616124,16.45873320537428
125009,32157,10184.0,26668.0,21973.0,4695.0,5489.0,100.0,31.669620922349722,82.93062163759058,68.33037907765028,14.600242559940293,17.06937836240943
126010,9758,5008.0,6985.0,4750.0,2235.0,2773.0,100.0,51.321992211518754,71.58229145316663,48.678007788481246,22.904283664685387,28.41770854683337
126011,27477,14719.0,20181.0,12758.0,7423.0,7296.0,100.0,53.56843905812134,73.44688284747242,46.431560941878665,27.01532190559377,26.553117152527566
126012,13742,8080.0,9817.0,5662.0,4155.0,3925.0,100.0,58.79784601950225,71.43792752146703,41.20215398049775,30.23577354096929,28.56207247853296
