id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
0540,20106,912,2165,742,1536,3217,2554,3298,5682,10274,1668,100.0,4.5359594150999705,10.76792997115289,3.690440664478265,7.639510593852582,16.00019894558838,12.702675818163733,16.403063762061077,28.260220829603107,51.09917437580822,8.296031035511788
0610,76053,3608,5457,1768,7500,21070,8895,10889,16866,40125,15137,100.0,4.744060063376856,7.175259358605183,2.324694620856508,9.861543923316635,27.704364061904197,11.69579109305353,14.317646904132644,22.176639974754448,52.75925998974399,19.903225382299187
0620,80496,3890,6506,2129,7587,18210,9251,11811,21112,42405,15076,100.0,4.8325382627708215,8.082389187040349,2.644851918107732,9.42531305903399,22.622242098986284,11.49249652156629,14.67277877161598,26.22739018087855,52.67963625521765,18.728880938183266
0630,83648,3585,7039,2553,8054,17468,10008,13065,21876,43950,13909,100.0,4.28581675592961,8.415024866105586,3.0520753634276967,9.628442999234888,20.8827467482785,11.96442234123948,15.619022570772762,26.152448355011476,52.54160290742158,16.62801262433053
0640,69159,2815,6333,2304,6685,11781,8244,11048,19949,36611,10448,100.0,4.0703306872569005,9.157159588773697,3.331453606905826,9.66613166760653,17.03465926343643,11.920357437209908,15.974782747003283,28.845125001807432,52.93743402883211,15.107216703538223
0710,50462,2241,3351,1118,5092,15236,6335,7539,9550,24271,16113,100.0,4.440965478974277,6.640640481946812,2.215528516507471,10.090761364987515,30.19301652728786,12.554001030478378,14.939954817486425,18.92513178233126,48.09757837580754,31.93095794855535
0720,53015,2680,3830,1115,5448,17305,6451,7381,8805,26640,13294,100.0,5.055173064227105,7.2243704611902295,2.1031783457512025,10.27633688578704,32.641705177779876,12.168254267660096,13.922474771291144,16.60850702631331,50.24992926530227,25.07592190889371
0730,47632,2454,3586,1162,4925,13276,5532,7040,9657,25024,9890,100.0,5.1519986563654685,7.528552233792409,2.4395364460866644,10.339687604971449,27.872018810883443,11.614040980853208,14.77997984548203,20.274185421565335,52.53611017803158,20.763352368155864
0740,66997,3523,5276,1677,7034,20255,7707,8991,12534,33825,17465,100.0,5.2584444079585655,7.874979476692986,2.5030971536038926,10.49897756615968,30.232696986432227,11.503500156723435,13.420003880770782,18.70830037165843,50.487335253817335,26.06833141782468
0750,54078,2971,4089,1226,4976,14267,5699,7425,13425,27964,11681,100.0,5.49391619512556,7.561300343947631,2.2670956766152597,9.20152372498983,26.382262657642663,10.538481452716447,13.730167535781648,24.825252413180962,51.71049225193239,21.60028107548356
0760,85045,4607,8125,2604,7722,18026,9759,12372,21830,43812,14926,100.0,5.417132106531836,9.553765653477571,3.0619084014345344,9.079898877065084,21.195837497795285,11.475101416896937,14.547592451055325,25.66876359574343,51.516256099711924,17.55070844846846
0810,162584,8226,12156,3976,16453,65791,20699,17263,18020,79242,58459,100.0,5.05953845396841,7.476750479752005,2.4455050927520543,10.119691974610049,40.46585149830242,12.731265069133494,10.617895979924223,11.083501451557348,48.73911331988388,35.95618265019928
0820,74670,4087,6414,2002,7607,19182,8461,10619,16298,37546,18110,100.0,5.473416365340833,8.589795098433106,2.6811303066827374,10.187491629837954,25.689031739654478,11.331190571849472,14.221240123208787,21.826704164992634,50.28257667068434,24.25338154546672
0830,39054,2526,3529,1061,3973,9546,4135,4948,9336,20334,9472,100.0,6.467967429712705,9.0362062784862,2.7167511650535157,10.173093665181543,24.443078813949914,10.58790392789471,12.669636912992265,23.905361806729143,52.066369642034104,24.253597582834026
0840,53953,2918,5019,1547,4872,10913,6237,8370,14077,27675,8395,100.0,5.408411024410134,9.302541100587549,2.8673104368617133,9.030081737808834,20.22686412247697,11.560061535039756,15.513502492910497,26.091227549904545,51.29464533946212,15.559839119233407
