id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
01300731,5039,442,634,201,632,1686,638,478,328,2354,3235,100.0,8.771581663028378,12.581861480452472,3.9888866838658465,12.542171065687635,33.45901964675531,12.661242309982141,9.486009128795397,6.509228021432824,46.71561817820996,64.19924588211947
01300732,6125,567,784,280,808,2067,730,477,412,2908,3888,100.0,9.257142857142856,12.8,4.571428571428571,13.191836734693876,33.7469387755102,11.918367346938776,7.7877551020408164,6.726530612244898,47.477551020408164,63.477551020408164
01300733,7142,520,886,285,900,2393,997,601,560,3443,4382,100.0,7.2808737048445815,12.405488658639037,3.9904788574628953,12.601512181461775,33.506020722486696,13.959675161019321,8.415009801176142,7.8409409129095495,48.207784934192105,61.35536264351722
01300834,9633,902,1441,462,948,2936,1206,872,866,4815,4422,100.0,9.363645800892764,14.95899512093844,4.796013702896294,9.841170974774213,30.47856327208554,12.519464341326689,9.052216339665732,8.989930447420326,49.98442852693864,45.90470258486452
01300835,6403,511,823,231,1022,1900,768,611,537,3163,3330,100.0,7.980634077776043,12.85334999219116,3.607683898172732,15.961268155552085,29.673590504451035,11.994377635483367,9.542401999062939,8.386693737310635,49.398719350304546,52.00687177885366
01300836,9585,713,1163,394,1330,3309,1251,767,658,4522,5888,100.0,7.438706311945749,12.133541992696923,4.110589462702139,13.875847678664579,34.5226917057903,13.051643192488264,8.00208659363589,6.864893062076161,47.177882107459574,61.42931664058424
01400937,5234,430,479,166,510,1909,708,528,504,2522,3159,100.0,8.215513947267864,9.15170042032862,3.1715705005731754,9.743981658387467,36.47306075659152,13.526939243408483,10.087886893389378,9.629346580053497,48.18494459304547,60.3553687428353
01400938,5133,366,500,177,638,1989,614,452,397,2388,3291,100.0,7.130333138515487,9.74089226573154,3.4482758620689653,12.429378531073446,38.749269433080066,11.961815702318331,8.805766608221314,7.734268458990844,46.52250146113384,64.114552893045
01400939,3153,273,290,90,402,1198,407,281,212,1451,2196,100.0,8.658420551855375,9.197589597209008,2.8544243577545196,12.749762131303521,37.995559784332386,12.908341262289882,8.912147161433555,6.723755153821758,46.01966381224231,69.64795432921026
01400940,2541,300,296,76,235,856,334,199,245,1307,1148,100.0,11.80637544273908,11.648957103502559,2.9909484454939,9.248327430145611,33.6875245966155,13.144431326249508,7.8315623770169225,9.641873278236915,51.43644234553325,45.17906336088154
01400941,1753,163,173,53,186,582,214,196,186,846,972,100.0,9.298345693097547,9.868796349115803,3.0233884768967485,10.610382201939531,33.20022818026241,12.207644038790646,11.180832857957787,10.610382201939531,48.26012549914432,55.44780376497434
01400942,4717,326,417,146,761,1739,605,432,291,2274,3214,100.0,6.911172355310578,8.840364638541445,3.095187619249523,16.13313546745813,36.86665253338987,12.825948696205213,9.158363366546533,6.169175323298707,48.20860716557134,68.13652745389018
